SAM3	S000006195	amino acid transport	GO:0006865
SWD2	S000001501	telomere organization	GO:0032200
TPK2	S000006124	cytoplasm	GO:0005737
GUS1	S000003214	mitochondrion	GO:0005739
MRP4	S000000996	mitochondrion	GO:0005739
YPI1	S000001899	enzyme regulator activity	GO:0030234
YRB2	S000001325	molecular function	GO:0003674
GPA1	S000001047	membrane	GO:0016020
FRE3	S000005908	oxidoreductase activity	GO:0016491
TRM10	S000005453	methyltransferase activity	GO:0008168
VPS9	S000004563	guanyl-nucleotide exchange factor activity	GO:0005085
PEX8	S000003309	membrane	GO:0016020
THG1	S000003256	tRNA processing	GO:0008033
tP(UGG)O1	S000006687	cytoplasm	GO:0005737
YPS1	S000004110	protein maturation	GO:0051604
DSC3	S000005749	molecular function	GO:0003674
ATG16	S000004769	nucleus	GO:0005634
TAF4	S000004607	transcription factor binding	GO:0008134
tF(GAA)H1	S000006566	translational elongation	GO:0006414
SOD1	S000003865	cell wall organization or biogenesis	GO:0071554
SNT1	S000000629	nucleus	GO:0005634
QDR2	S000001383	transmembrane transporter activity	GO:0022857
KIN2	S000004086	transferase activity	GO:0016740
PRR2	S000002373	response to chemical	GO:0042221
tN(GUU)Q	S000007327	cytoplasm	GO:0005737
ADK2	S000000972	mitochondrion	GO:0005739
JJJ1	S000005171	ribosomal subunit export from nucleus	GO:0000054
SNR79	S000007313	RNA modification	GO:0009451
YPL113C	S000006034	oxidoreductase activity	GO:0016491
CTR9	S000005505	chromosome	GO:0005694
HED1	S000113613	regulation of DNA metabolic process	GO:0051052
YUR1	S000003675	carbohydrate metabolic process	GO:0005975
YPR071W	S000006275	biological process	GO:0008150
RPL8B	S000003968	ribosome	GO:0005840
FEX2	S000006200	membrane	GO:0016020
SNR33	S000007298	rRNA processing	GO:0006364
POP4	S000000461	rRNA processing	GO:0006364
TFC8	S000005928	nucleic acid binding transcription factor activity	GO:0001071
SPO1	S000004957	endoplasmic reticulum	GO:0005783
VPS72	S000002893	cytoplasm	GO:0005737
AQY1	S000006396	sporulation	GO:0043934
BOS1	S000004068	membrane	GO:0016020
STE3	S000001661	signaling	GO:0023052
TAE2	S000005930	ribosome	GO:0005840
PEX11	S000005507	molecular function	GO:0003674
RPT2	S000002165	nucleus	GO:0005634
DOS2	S000002475	molecular function	GO:0003674
PAU4	S000004453	cellular component	GO:0005575
RAS1	S000005627	nucleus	GO:0005634
DDC1	S000006115	molecular function	GO:0003674
SDH3	S000001624	oxidoreductase activity	GO:0016491
NUP82	S000003597	protein targeting	GO:0006605
MID1	S000005235	membrane	GO:0016020
CDC15	S000000072	cytoplasm	GO:0005737
SSO1	S000006153	plasma membrane	GO:0005886
SNR36	S000007300	RNA binding	GO:0003723
SEC22	S000004258	membrane fusion	GO:0061025
SKN7	S000001249	nucleus	GO:0005634
MMT1	S000004789	mitochondrion	GO:0005739
tE(UUC)G2	S000006554	triplet codon-amino acid adaptor activity	GO:0030533
PAN5	S000001105	cytoplasm	GO:0005737
COS1	S000005280	biological process	GO:0008150
YOR292C	S000005818	biological process	GO:0008150
DFG5	S000004851	cytoplasm	GO:0005737
YGK3	S000005488	response to osmotic stress	GO:0006970
PAL1	S000002756	molecular function	GO:0003674
MSB3	S000005237	enzyme regulator activity	GO:0030234
UBX6	S000003584	nucleus	GO:0005634
ESC1	S000004832	molecular function	GO:0003674
FUN12	S000000033	translational initiation	GO:0006413
MPR1	S000029666	transferase activity	GO:0016740
CHS5	S000004322	sporulation	GO:0043934
TAF11	S000004477	DNA-templated transcription, initiation	GO:0006352
GIS3	S000004084	molecular function	GO:0003674
LSM6	S000002786	RNA binding	GO:0003723
VMA7	S000003252	transmembrane transporter activity	GO:0022857
VPS75	S000005190	cellular response to DNA damage stimulus	GO:0006974
CDC50	S000000690	lipid transport	GO:0006869
MLP1	S000001803	microtubule organizing center	GO:0005815
BPL1	S000002300	nucleus	GO:0005634
HIR2	S000005564	transcription from RNA polymerase II promoter	GO:0006366
RPL6B	S000004440	ribosome	GO:0005840
BNI1	S000005215	cytoplasm	GO:0005737
STH1	S000001388	histone binding	GO:0042393
FUN12	S000000033	ion binding	GO:0043167
YEN1	S000000843	cellular response to DNA damage stimulus	GO:0006974
MAD3	S000003550	organelle fission	GO:0048285
PRP24	S000004881	RNA splicing	GO:0008380
PCL7	S000001312	regulation of protein modification process	GO:0031399
PPR1	S000004004	DNA binding	GO:0003677
VTA1	S000004171	cytoplasm	GO:0005737
HST3	S000005551	lipid metabolic process	GO:0006629
RSC30	S000001098	cellular response to DNA damage stimulus	GO:0006974
ALG3	S000000178	lipid metabolic process	GO:0006629
GID8	S000004742	nucleus	GO:0005634
MDM35	S000007243	nucleus	GO:0005634
CDC26	S000001932	protein modification by small protein conjugation or removal	GO:0070647
LSG1	S000003067	organelle assembly	GO:0070925
HOL1	S000005338	plasma membrane	GO:0005886
GEX1	S000000575	cytoplasm	GO:0005737
HSX1	S000006707	RNA binding	GO:0003723
ISC1	S000000821	cytoplasm	GO:0005737
BMS1	S000006138	ion binding	GO:0043167
RUF20	S000130127	molecular function	GO:0003674
SSA2	S000003947	mitochondrion	GO:0005739
PEP12	S000005562	organelle inheritance	GO:0048308
YGL082W	S000003050	nucleus	GO:0005634
ESF1	S000002773	RNA binding	GO:0003723
CDC14	S000001924	chromosome segregation	GO:0007059
YNG2	S000001132	cytoplasm	GO:0005737
MRH1	S000002440	mitochondrion	GO:0005739
YDR246W-A	S000028542	molecular function	GO:0003674
ATP17	S000002785	transmembrane transport	GO:0055085
RPS10B	S000004843	ribosome	GO:0005840
PRE5	S000004931	proteolysis involved in cellular protein catabolic process	GO:0051603
TPO1	S000003951	plasma membrane	GO:0005886
HFM1	S000003220	DNA replication	GO:0006260
RPL24A	S000002999	ribosome	GO:0005840
GPI18	S000000208	endoplasmic reticulum	GO:0005783
PET494	S000005328	cytoplasm	GO:0005737
LIF1	S000003058	chromosome	GO:0005694
VRG4	S000003193	transmembrane transporter activity	GO:0022857
PSY4	S000000142	cytoplasm	GO:0005737
PCL8	S000006140	enzyme regulator activity	GO:0030234
RMP1	S000004135	mRNA processing	GO:0006397
YJR120W	S000003881	mitochondrion organization	GO:0007005
CCA1	S000000970	nucleotidyltransferase activity	GO:0016779
PHO4	S000001930	chromatin organization	GO:0006325
YSP1	S000001198	molecular function	GO:0003674
STN1	S000002489	chromosome	GO:0005694
RPP2B	S000002790	enzyme regulator activity	GO:0030234
YLR415C	S000004407	biological process	GO:0008150
POM152	S000004736	protein complex biogenesis	GO:0070271
SIP4	S000003625	nucleic acid binding transcription factor activity	GO:0001071
YNL194C	S000005138	plasma membrane	GO:0005886
tT(AGU)O1	S000006746	cytoplasm	GO:0005737
RSF1	S000004632	nucleus	GO:0005634
TSA1	S000004490	response to chemical	GO:0042221
NOP56	S000004187	RNA modification	GO:0009451
YRB2	S000001325	ribosomal subunit export from nucleus	GO:0000054
SDH1	S000001631	oxidoreductase activity	GO:0016491
BCK2	S000000969	cytoplasm	GO:0005737
ERV41	S000004532	endoplasmic reticulum	GO:0005783
PMP3	S000002684	membrane	GO:0016020
MDM31	S000001237	mitochondrion	GO:0005739
CIR2	S000005883	biological process	GO:0008150
ALG9	S000005163	endoplasmic reticulum	GO:0005783
UBP11	S000001806	cellular component	GO:0005575
SNR48	S000006440	RNA binding	GO:0003723
AUR1	S000001487	lipid metabolic process	GO:0006629
HTZ1	S000005372	chromosome	GO:0005694
RAD50	S000005194	organelle fission	GO:0048285
CTF4	S000006339	DNA binding	GO:0003677
MET6	S000000893	transferase activity	GO:0016740
SIN3	S000005364	DNA repair	GO:0006281
DAL4	S000001467	membrane	GO:0016020
BIT61	S000003594	molecular function	GO:0003674
AAD15	S000005525	oxidoreductase activity	GO:0016491
TRZ1	S000001787	cytoplasm	GO:0005737
YBL036C	S000000132	biological process	GO:0008150
FRS1	S000004050	cellular amino acid metabolic process	GO:0006520
CAK1	S000001865	enzyme regulator activity	GO:0030234
STE11	S000004354	signal transducer activity	GO:0004871
RFS1	S000000256	membrane	GO:0016020
ADR1	S000002624	DNA binding	GO:0003677
SRL4	S000005954	cytoplasm	GO:0005737
MUM2	S000000261	meiotic cell cycle	GO:0051321
COX13	S000003159	cellular respiration	GO:0045333
ITC1	S000003101	nucleus	GO:0005634
STE18	S000003846	signal transducer activity	GO:0004871
GPB2	S000000052	plasma membrane	GO:0005886
TIM50	S000005984	transmembrane transport	GO:0055085
RPL15A	S000004019	ribosome	GO:0005840
YEN1	S000000843	nucleus	GO:0005634
SUF2	S000006678	translational elongation	GO:0006414
INP53	S000005635	lipid metabolic process	GO:0006629
UTP14	S000004558	molecular function	GO:0003674
RFC1	S000005743	mitotic cell cycle	GO:0000278
MRPL3	S000004626	ribosome	GO:0005840
EDC2	S000000837	nucleus	GO:0005634
CCT7	S000003647	protein folding	GO:0006457
AVL9	S000004104	molecular function	GO:0003674
SNR9	S000007292	nucleus	GO:0005634
YIL055C	S000001317	cytoplasm	GO:0005737
SSS1	S000002493	transmembrane transport	GO:0055085
MOD5	S000005800	nucleus	GO:0005634
YHR182W	S000001225	cytoplasm	GO:0005737
SSS1	S000002493	endoplasmic reticulum	GO:0005783
VPS30	S000006041	vacuole	GO:0005773
RRI1	S000002375	hydrolase activity	GO:0016787
YLR031W	S000004021	biological process	GO:0008150
DPB11	S000003626	mitotic cell cycle	GO:0000278
RRF1	S000001080	RNA binding	GO:0003723
DFG16	S000005556	protein maturation	GO:0051604
SNC1	S000000028	membrane fusion	GO:0061025
YDR098C-A	S000007390	transposition	GO:0032196
YNL181W	S000005125	nucleus	GO:0005634
TOA1	S000005720	nucleus	GO:0005634
YPL216W	S000006137	cellular component	GO:0005575
MRPL15	S000004304	structural molecule activity	GO:0005198
BAR1	S000001277	response to chemical	GO:0042221
JAC1	S000002986	mitochondrion	GO:0005739
SNF8	S000005923	response to chemical	GO:0042221
MND2	S000001464	regulation of cell cycle	GO:0051726
MLP2	S000001411	cytoskeleton	GO:0005856
SQS1	S000005168	mRNA processing	GO:0006397
ASE1	S000005584	cytoskeleton	GO:0005856
SPS18	S000005148	molecular function	GO:0003674
YLR446W	S000004438	cellular component	GO:0005575
PFK27	S000005496	transferase activity	GO:0016740
SPC72	S000000045	regulation of cell cycle	GO:0051726
YLR271W	S000004261	biological process	GO:0008150
SIR4	S000002635	chromosome	GO:0005694
HST1	S000005429	hydrolase activity	GO:0016787
CDC6	S000003730	ion binding	GO:0043167
SPS4	S000005840	sporulation	GO:0043934
TCM62	S000000248	protein complex biogenesis	GO:0070271
SPT3	S000002800	histone modification	GO:0016570
MDG1	S000005117	signaling	GO:0023052
INN1	S000005096	ion binding	GO:0043167
OPT2	S000006398	organelle fusion	GO:0048284
CYC7	S000000765	generation of precursor metabolites and energy	GO:0006091
MET3	S000003771	transferase activity	GO:0016740
MRPL8	S000003599	cytoplasm	GO:0005737
WSC4	S000001020	protein transporter activity	GO:0008565
UTP20	S000000100	RNA binding	GO:0003723
TRS120	S000002815	guanyl-nucleotide exchange factor activity	GO:0005085
POP5	S000000031	hydrolase activity	GO:0016787
RNH70	S000003508	rRNA processing	GO:0006364
HSP60	S000004249	protein folding	GO:0006457
GRS2	S000006285	cellular amino acid metabolic process	GO:0006520
ABM1	S000003869	cytoskeleton organization	GO:0007010
GTT1	S000001477	oxidoreductase activity	GO:0016491
DBP8	S000001212	helicase activity	GO:0004386
MCD1	S000002161	chromosome segregation	GO:0007059
YNL054W-B	S000007385	RNA binding	GO:0003723
DNF1	S000000968	transmembrane transporter activity	GO:0022857
RPL35B	S000002295	cytoplasm	GO:0005737
TRS120	S000002815	cytoplasm	GO:0005737
RNY1	S000006044	cytoplasm	GO:0005737
RPS9B	S000000393	structural molecule activity	GO:0005198
SGO1	S000005599	cytoskeleton organization	GO:0007010
PKH1	S000002898	signaling	GO:0023052
CAK1	S000001865	transferase activity	GO:0016740
MPH3	S000003921	carbohydrate transport	GO:0008643
RAD24	S000000975	chromosome	GO:0005694
PAU10	S000002950	molecular function	GO:0003674
BI2	S000007271	mitochondrion	GO:0005739
FIG1	S000000244	cell wall	GO:0005618
SAM50	S000004971	protein targeting	GO:0006605
YAL065C	S000001817	cellular component	GO:0005575
YKL106C-A	S000007616	molecular function	GO:0003674
YPR010C-A	S000122558	cellular component	GO:0005575
TSA2	S000002861	response to oxidative stress	GO:0006979
NUP53	S000004762	nucleus	GO:0005634
IES1	S000001881	cytoplasm	GO:0005737
PZF1	S000006390	transcription from RNA polymerase III promoter	GO:0006383
CCZ1	S000000335	cytoplasm	GO:0005737
YER134C	S000000936	hydrolase activity	GO:0016787
YML108W	S000004576	biological process	GO:0008150
HXT2	S000004613	transmembrane transporter activity	GO:0022857
PTK2	S000003820	protein phosphorylation	GO:0006468
COX17	S000003932	protein complex biogenesis	GO:0070271
RIT1	S000004896	tRNA processing	GO:0008033
HAS1	S000004903	rRNA processing	GO:0006364
CTK3	S000004580	protein phosphorylation	GO:0006468
FPR4	S000004441	regulation of organelle organization	GO:0033043
PCL2	S000002285	enzyme regulator activity	GO:0030234
GTR1	S000004590	nucleobase-containing small molecule metabolic process	GO:0055086
PDR10	S000005855	transmembrane transport	GO:0055085
SKY1	S000004829	cellular ion homeostasis	GO:0006873
YPQ1	S000005452	transmembrane transport	GO:0055085
PBY1	S000000298	molecular function	GO:0003674
RAD26	S000003796	hydrolase activity	GO:0016787
HSC82	S000004798	telomere organization	GO:0032200
MRPL31	S000001621	mitochondrion organization	GO:0007005
MET17	S000004294	lyase activity	GO:0016829
GCV2	S000004801	cellular amino acid metabolic process	GO:0006520
STB1	S000005253	cytoplasm	GO:0005737
XKS1	S000003426	carbohydrate metabolic process	GO:0005975
RSR1	S000003384	mitotic cell cycle	GO:0000278
DOT1	S000002848	methyltransferase activity	GO:0008168
ERG2	S000004815	isomerase activity	GO:0016853
BRE1	S000002232	DNA repair	GO:0006281
ATG9	S000002308	membrane invagination	GO:0010324
TVP18	S000004675	membrane	GO:0016020
ATG4	S000005167	protein lipidation	GO:0006497
YCR099C	S000000696	molecular function	GO:0003674
SPT2	S000000963	cytoplasm	GO:0005737
tK(CUU)J	S000006625	triplet codon-amino acid adaptor activity	GO:0030533
TYW1	S000006128	molecular function	GO:0003674
YGR111W	S000003343	nucleus	GO:0005634
SRL2	S000004072	molecular function	GO:0003674
MMS4	S000000302	meiotic cell cycle	GO:0051321
YGR127W	S000003359	biological process	GO:0008150
TRX2	S000003441	Golgi vesicle transport	GO:0048193
CTL1	S000004792	nucleus	GO:0005634
SNT2	S000003099	cytoplasm	GO:0005737
MEK1	S000005878	nucleus	GO:0005634
DSC3	S000005749	vacuole	GO:0005773
NDC1	S000004493	membrane	GO:0016020
POL32	S000003804	nuclease activity	GO:0004518
HXT11	S000005516	carbohydrate transport	GO:0008643
YPR096C	S000006300	biological process	GO:0008150
HDA3	S000006383	chromosome	GO:0005694
LSM1	S000003660	RNA binding	GO:0003723
FPS1	S000003966	carbohydrate transport	GO:0008643
HPM1	S000001372	cytoplasm	GO:0005737
YML082W	S000004547	nucleus	GO:0005634
DPB4	S000002528	DNA repair	GO:0006281
RUD3	S000005742	enzyme binding	GO:0019899
YGR121W-A	S000028550	biological process	GO:0008150
HXT12	S000001432	transmembrane transporter activity	GO:0022857
BIO7	S000125022	vitamin metabolic process	GO:0006766
BAP3	S000002453	membrane	GO:0016020
ATP23	S000005303	protein maturation	GO:0051604
YGR067C	S000003299	biological process	GO:0008150
tP(UGG)N2	S000006686	triplet codon-amino acid adaptor activity	GO:0030533
YLR173W	S000004163	molecular function	GO:0003674
SCP1	S000005894	protein binding, bridging	GO:0030674
GID8	S000004742	molecular function	GO:0003674
SUT1	S000003130	transcription factor binding	GO:0008134
tE(UUC)P	S000006561	triplet codon-amino acid adaptor activity	GO:0030533
TOK1	S000003629	transmembrane transporter activity	GO:0022857
CTR3	S000004403	ion transport	GO:0006811
YPR078C	S000006282	molecular function	GO:0003674
YHR007C-A	S000028830	biological process	GO:0008150
YAT1	S000000080	transferase activity	GO:0016740
RPP1B	S000002288	structural molecule activity	GO:0005198
ERV29	S000003516	protein binding, bridging	GO:0030674
GOS1	S000001023	cytoplasm	GO:0005737
GPI19	S000002845	membrane	GO:0016020
YKL050C	S000001533	cellular component	GO:0005575
tH(GUG)H	S000006597	cytoplasm	GO:0005737
CHL4	S000002662	protein complex biogenesis	GO:0070271
ICL2	S000006210	lipid metabolic process	GO:0006629
RPS0B	S000004038	nucleobase-containing compound transport	GO:0015931
KIN82	S000000687	kinase activity	GO:0016301
YOL097W-A	S000028854	molecular function	GO:0003674
PGD1	S000002993	transcription factor binding	GO:0008134
SWC4	S000003234	chromosome	GO:0005694
STE14	S000002818	transferase activity	GO:0016740
COF1	S000003973	cytoskeleton	GO:0005856
TRM12	S000004464	cytoplasm	GO:0005737
YPR137C-A	S000007359	RNA binding	GO:0003723
SMY2	S000000376	membrane	GO:0016020
DYS1	S000001110	peptidyl-amino acid modification	GO:0018193
ATG17	S000004415	cytoplasm	GO:0005737
YLR307C-A	S000028525	biological process	GO:0008150
ELO3	S000004364	monocarboxylic acid metabolic process	GO:0032787
MHP1	S000003578	structural molecule activity	GO:0005198
MAS1	S000004153	protein maturation	GO:0051604
CDD1	S000004235	nucleus	GO:0005634
YNL190W	S000005134	response to chemical	GO:0042221
MCM2	S000000119	chromatin binding	GO:0003682
MAL22	S000029682	cellular component	GO:0005575
GRE3	S000001146	cytoplasm	GO:0005737
CDC28	S000000364	histone binding	GO:0042393
SLX4	S000004125	hydrolase activity	GO:0016787
NOP9	S000003547	nuclear transport	GO:0051169
KEL3	S000006184	cytoplasm	GO:0005737
RIM11	S000004747	kinase activity	GO:0016301
ACO2	S000003736	lyase activity	GO:0016829
YHR022C-A	S000028645	biological process	GO:0008150
YNL035C	S000004980	cytoplasm	GO:0005737
COX18	S000003294	protein transporter activity	GO:0008565
YMD8	S000004502	ion transport	GO:0006811
SSB2	S000005153	regulation of translation	GO:0006417
ALG7	S000000447	protein glycosylation	GO:0006486
NQM1	S000003275	transferase activity	GO:0016740
SXM1	S000002803	cytoplasm	GO:0005737
RDN5-6	S000029711	cellular component	GO:0005575
STE50	S000000537	response to heat	GO:0009408
SUF9	S000006681	translational elongation	GO:0006414
TCB1	S000005612	plasma membrane	GO:0005886
RKI1	S000005621	isomerase activity	GO:0016853
CAF130	S000003366	molecular function	GO:0003674
RAS2	S000005042	ion binding	GO:0043167
GIN4	S000002915	cytoskeleton organization	GO:0007010
ELM1	S000001531	mitotic cell cycle	GO:0000278
RAT1	S000005574	rRNA processing	GO:0006364
TDH2	S000003769	plasma membrane	GO:0005886
GDE1	S000006031	lipid metabolic process	GO:0006629
IRC6	S000001939	biological process	GO:0008150
THI73	S000003994	endoplasmic reticulum	GO:0005783
RPB10	S000005736	transcription from RNA polymerase II promoter	GO:0006366
YSR3	S000001761	membrane	GO:0016020
ITT1	S000004533	cellular component	GO:0005575
ORC2	S000000264	DNA replication	GO:0006260
SLI1	S000003444	plasma membrane	GO:0005886
BCS1	S000002783	mitochondrion	GO:0005739
ERG5	S000004617	oxidoreductase activity	GO:0016491
